Epoch[1/15], Recons_Loss: 0.2732, KL Div: 0.0016
Epoch[2/15], Recons_Loss: 0.2633, KL Div: 0.0006
Epoch[3/15], Recons_Loss: 0.2606, KL Div: 0.0000
Epoch[4/15], Recons_Loss: 0.2627, KL Div: 0.0000
Epoch[5/15], Recons_Loss: 0.2624, KL Div: 0.0001
Epoch[6/15], Recons_Loss: 0.2767, KL Div: 0.0000
Epoch[7/15], Recons_Loss: 0.2627, KL Div: 0.0000
Epoch[8/15], Recons_Loss: 0.2609, KL Div: 0.0000
Epoch[9/15], Recons_Loss: 0.2502, KL Div: 0.0000
Epoch[10/15], Recons_Loss: 0.2692, KL Div: 0.0000
Epoch[11/15], Recons_Loss: 0.2728, KL Div: 0.0000
Epoch[12/15], Recons_Loss: 0.2675, KL Div: 0.0000
Epoch[13/15], Recons_Loss: 0.2531, KL Div: 0.0001
Epoch[14/15], Recons_Loss: 0.2596, KL Div: 0.0000
Epoch[15/15], Recons_Loss: 0.2703, KL Div: 0.0000
