/home/ym2380/get_bored/classics/style_transfer/logs/../code/main.py:23: DeprecationWarning: ANTIALIAS is deprecated and will be removed in Pillow 10 (2023-07-01). Use LANCZOS or Resampling.LANCZOS instead.
  img = img.resize(size.astype(int), Image.ANTIALIAS)
/ext3/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/ext3/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)

    *******************************INFO*******************************
    It has been 6 years. Can you believe it?
    Content: content002.JPG
    Style: style001.jpeg
    max_size: 400
    lr: 0.003
    epochs: 2000
    style_weight: 100
    working_dir: content001_style001
    ******************************************************************
    
Epoch [10/2000], Content Loss: 2.8575, Style Loss: 345.0860
Epoch [20/2000], Content Loss: 6.0842, Style Loss: 262.9887
Epoch [30/2000], Content Loss: 8.5422, Style Loss: 205.6801
Epoch [40/2000], Content Loss: 10.4344, Style Loss: 167.4305
Epoch [50/2000], Content Loss: 11.8412, Style Loss: 141.4951
Epoch [60/2000], Content Loss: 12.9009, Style Loss: 123.1546
Epoch [70/2000], Content Loss: 13.7365, Style Loss: 109.5635
Epoch [80/2000], Content Loss: 14.4228, Style Loss: 99.0730
Epoch [90/2000], Content Loss: 15.0032, Style Loss: 90.6636
Epoch [100/2000], Content Loss: 15.4946, Style Loss: 83.7457
Epoch [110/2000], Content Loss: 15.9178, Style Loss: 77.9492
Epoch [120/2000], Content Loss: 16.2895, Style Loss: 73.0151
Epoch [130/2000], Content Loss: 16.6242, Style Loss: 68.7620
Epoch [140/2000], Content Loss: 16.9313, Style Loss: 65.0467
Epoch [150/2000], Content Loss: 17.2135, Style Loss: 61.7718
Epoch [160/2000], Content Loss: 17.4698, Style Loss: 58.8603
Epoch [170/2000], Content Loss: 17.7084, Style Loss: 56.2507
Epoch [180/2000], Content Loss: 17.9324, Style Loss: 53.8908
Epoch [190/2000], Content Loss: 18.1376, Style Loss: 51.7489
Epoch [200/2000], Content Loss: 18.3295, Style Loss: 49.7932
Epoch [210/2000], Content Loss: 18.5050, Style Loss: 47.9986
Epoch [220/2000], Content Loss: 18.6676, Style Loss: 46.3452
Epoch [230/2000], Content Loss: 18.8231, Style Loss: 44.8120
Epoch [240/2000], Content Loss: 18.9728, Style Loss: 43.3827
Epoch [250/2000], Content Loss: 19.1149, Style Loss: 42.0500
Epoch [260/2000], Content Loss: 19.2481, Style Loss: 40.8022
Epoch [270/2000], Content Loss: 19.3769, Style Loss: 39.6323
Epoch [280/2000], Content Loss: 19.5021, Style Loss: 38.5312
Epoch [290/2000], Content Loss: 19.6194, Style Loss: 37.4931
Epoch [300/2000], Content Loss: 19.7336, Style Loss: 36.5137
Epoch [310/2000], Content Loss: 19.8396, Style Loss: 35.5862
Epoch [320/2000], Content Loss: 19.9403, Style Loss: 34.7072
Epoch [330/2000], Content Loss: 20.0402, Style Loss: 33.8727
Epoch [340/2000], Content Loss: 20.1346, Style Loss: 33.0796
Epoch [350/2000], Content Loss: 20.2239, Style Loss: 32.3262
Epoch [360/2000], Content Loss: 20.3087, Style Loss: 31.6086
Epoch [370/2000], Content Loss: 20.3903, Style Loss: 30.9241
Epoch [380/2000], Content Loss: 20.4681, Style Loss: 30.2701
Epoch [390/2000], Content Loss: 20.5437, Style Loss: 29.6466
Epoch [400/2000], Content Loss: 20.6134, Style Loss: 29.0510
Epoch [410/2000], Content Loss: 20.6787, Style Loss: 28.4813
Epoch [420/2000], Content Loss: 20.7428, Style Loss: 27.9358
Epoch [430/2000], Content Loss: 20.8055, Style Loss: 27.4123
Epoch [440/2000], Content Loss: 20.8647, Style Loss: 26.9100
Epoch [450/2000], Content Loss: 20.9203, Style Loss: 26.4278
Epoch [460/2000], Content Loss: 20.9717, Style Loss: 25.9646
Epoch [470/2000], Content Loss: 21.0240, Style Loss: 25.5203
Epoch [480/2000], Content Loss: 21.0738, Style Loss: 25.0932
Epoch [490/2000], Content Loss: 21.1204, Style Loss: 24.6823
Epoch [500/2000], Content Loss: 21.1662, Style Loss: 24.2867
Epoch [510/2000], Content Loss: 21.2102, Style Loss: 23.9058
Epoch [520/2000], Content Loss: 21.2533, Style Loss: 23.5391
Epoch [530/2000], Content Loss: 21.2952, Style Loss: 23.1856
Epoch [540/2000], Content Loss: 21.3356, Style Loss: 22.8445
Epoch [550/2000], Content Loss: 21.3758, Style Loss: 22.5152
Epoch [560/2000], Content Loss: 21.4162, Style Loss: 22.1972
Epoch [570/2000], Content Loss: 21.4563, Style Loss: 21.8900
Epoch [580/2000], Content Loss: 21.4948, Style Loss: 21.5930
Epoch [590/2000], Content Loss: 21.5339, Style Loss: 21.3052
Epoch [600/2000], Content Loss: 21.5715, Style Loss: 21.0266
Epoch [610/2000], Content Loss: 21.6085, Style Loss: 20.7568
Epoch [620/2000], Content Loss: 21.6437, Style Loss: 20.4950
Epoch [630/2000], Content Loss: 21.6799, Style Loss: 20.2413
Epoch [640/2000], Content Loss: 21.7156, Style Loss: 19.9950
Epoch [650/2000], Content Loss: 21.7501, Style Loss: 19.7558
Epoch [660/2000], Content Loss: 21.7847, Style Loss: 19.5234
Epoch [670/2000], Content Loss: 21.8197, Style Loss: 19.2974
Epoch [680/2000], Content Loss: 21.8545, Style Loss: 19.0772
Epoch [690/2000], Content Loss: 21.8884, Style Loss: 18.8631
Epoch [700/2000], Content Loss: 21.9217, Style Loss: 18.6543
Epoch [710/2000], Content Loss: 21.9546, Style Loss: 18.4506
Epoch [720/2000], Content Loss: 21.9865, Style Loss: 18.2520
Epoch [730/2000], Content Loss: 22.0177, Style Loss: 18.0581
Epoch [740/2000], Content Loss: 22.0483, Style Loss: 17.8687
Epoch [750/2000], Content Loss: 22.0785, Style Loss: 17.6836
Epoch [760/2000], Content Loss: 22.1083, Style Loss: 17.5028
Epoch [770/2000], Content Loss: 22.1369, Style Loss: 17.3260
Epoch [780/2000], Content Loss: 22.1649, Style Loss: 17.1530
Epoch [790/2000], Content Loss: 22.1920, Style Loss: 16.9838
Epoch [800/2000], Content Loss: 22.2182, Style Loss: 16.8182
Epoch [810/2000], Content Loss: 22.2437, Style Loss: 16.6561
Epoch [820/2000], Content Loss: 22.2684, Style Loss: 16.4973
Epoch [830/2000], Content Loss: 22.2941, Style Loss: 16.3414
Epoch [840/2000], Content Loss: 22.3198, Style Loss: 16.1883
Epoch [850/2000], Content Loss: 22.3445, Style Loss: 16.0379
Epoch [860/2000], Content Loss: 22.3672, Style Loss: 15.8903
Epoch [870/2000], Content Loss: 22.3901, Style Loss: 15.7453
Epoch [880/2000], Content Loss: 22.4126, Style Loss: 15.6028
Epoch [890/2000], Content Loss: 22.4343, Style Loss: 15.4627
Epoch [900/2000], Content Loss: 22.4560, Style Loss: 15.3248
Epoch [910/2000], Content Loss: 22.4770, Style Loss: 15.1891
Epoch [920/2000], Content Loss: 22.4982, Style Loss: 15.0555
Epoch [930/2000], Content Loss: 22.5194, Style Loss: 14.9240
Epoch [940/2000], Content Loss: 22.5407, Style Loss: 14.7945
Epoch [950/2000], Content Loss: 22.5617, Style Loss: 14.6669
Epoch [960/2000], Content Loss: 22.5817, Style Loss: 14.5413
Epoch [970/2000], Content Loss: 22.6017, Style Loss: 14.4176
Epoch [980/2000], Content Loss: 22.6222, Style Loss: 14.2958
Epoch [990/2000], Content Loss: 22.6426, Style Loss: 14.1756
Epoch [1000/2000], Content Loss: 22.6629, Style Loss: 14.0572
Epoch [1010/2000], Content Loss: 22.6834, Style Loss: 13.9404
Epoch [1020/2000], Content Loss: 22.7028, Style Loss: 13.8251
Epoch [1030/2000], Content Loss: 22.7220, Style Loss: 13.7113
Epoch [1040/2000], Content Loss: 22.7414, Style Loss: 13.5991
Epoch [1050/2000], Content Loss: 22.7597, Style Loss: 13.4883
Epoch [1060/2000], Content Loss: 22.7778, Style Loss: 13.3789
Epoch [1070/2000], Content Loss: 22.7959, Style Loss: 13.2708
Epoch [1080/2000], Content Loss: 22.8138, Style Loss: 13.1640
Epoch [1090/2000], Content Loss: 22.8316, Style Loss: 13.0585
Epoch [1100/2000], Content Loss: 22.8498, Style Loss: 12.9543
Epoch [1110/2000], Content Loss: 22.8677, Style Loss: 12.8513
Epoch [1120/2000], Content Loss: 22.8861, Style Loss: 12.7494
Epoch [1130/2000], Content Loss: 22.9048, Style Loss: 12.6487
Epoch [1140/2000], Content Loss: 22.9221, Style Loss: 12.5492
Epoch [1150/2000], Content Loss: 22.9393, Style Loss: 12.4509
Epoch [1160/2000], Content Loss: 22.9565, Style Loss: 12.3538
Epoch [1170/2000], Content Loss: 22.9742, Style Loss: 12.2576
Epoch [1180/2000], Content Loss: 22.9912, Style Loss: 12.1625
Epoch [1190/2000], Content Loss: 23.0076, Style Loss: 12.0686
Epoch [1200/2000], Content Loss: 23.0244, Style Loss: 11.9758
Epoch [1210/2000], Content Loss: 23.0406, Style Loss: 11.8838
Epoch [1220/2000], Content Loss: 23.0567, Style Loss: 11.7929
Epoch [1230/2000], Content Loss: 23.0727, Style Loss: 11.7028
Epoch [1240/2000], Content Loss: 23.0897, Style Loss: 11.6137
Epoch [1250/2000], Content Loss: 23.1069, Style Loss: 11.5256
Epoch [1260/2000], Content Loss: 23.1234, Style Loss: 11.4384
Epoch [1270/2000], Content Loss: 23.1401, Style Loss: 11.3521
Epoch [1280/2000], Content Loss: 23.1565, Style Loss: 11.2668
Epoch [1290/2000], Content Loss: 23.1728, Style Loss: 11.1823
Epoch [1300/2000], Content Loss: 23.1891, Style Loss: 11.0988
Epoch [1310/2000], Content Loss: 23.2056, Style Loss: 11.0161
Epoch [1320/2000], Content Loss: 23.2224, Style Loss: 10.9343
Epoch [1330/2000], Content Loss: 23.2384, Style Loss: 10.8535
Epoch [1340/2000], Content Loss: 23.2543, Style Loss: 10.7734
Epoch [1350/2000], Content Loss: 23.2706, Style Loss: 10.6943
Epoch [1360/2000], Content Loss: 23.2865, Style Loss: 10.6159
Epoch [1370/2000], Content Loss: 23.3022, Style Loss: 10.5385
Epoch [1380/2000], Content Loss: 23.3182, Style Loss: 10.4616
Epoch [1390/2000], Content Loss: 23.3330, Style Loss: 10.3856
Epoch [1400/2000], Content Loss: 23.3476, Style Loss: 10.3104
Epoch [1410/2000], Content Loss: 23.3624, Style Loss: 10.2359
Epoch [1420/2000], Content Loss: 23.3771, Style Loss: 10.1622
Epoch [1430/2000], Content Loss: 23.3916, Style Loss: 10.0892
Epoch [1440/2000], Content Loss: 23.4063, Style Loss: 10.0169
Epoch [1450/2000], Content Loss: 23.4207, Style Loss: 9.9455
Epoch [1460/2000], Content Loss: 23.4351, Style Loss: 9.8747
Epoch [1470/2000], Content Loss: 23.4489, Style Loss: 9.8045
Epoch [1480/2000], Content Loss: 23.4625, Style Loss: 9.7351
Epoch [1490/2000], Content Loss: 23.4762, Style Loss: 9.6664
Epoch [1500/2000], Content Loss: 23.4901, Style Loss: 9.5984
Epoch [1510/2000], Content Loss: 23.5038, Style Loss: 9.5310
